,categories,categoriesList,cc,city,country,id,lat,lng,name,postalCode,primary_category_id,primary_category_name,state
0,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,4dcbb9d1d16478749fa85df3,50.85668021515777,3.2531866009426706,Modde bouwmaterialen,,4bf58dd8d48988d125941735,Tech Startup,West-Vlaanderen
1,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,50488d30e4b0f7c26e9d0cc1,50.85472998403052,3.2651514229937058,Bvba Luyckx Dirk,,4bf58dd8d48988d124941735,Office,West-Vlaanderen
2,"[{'id': '4bf58dd8d48988d178941735', 'name': ""Dentist's Office"", 'pluralName': ""Dentist's Offices"", 'shortName': ""Dentist's Office"", 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_dentist_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,519642d9498ebcf36d73e15d,50.84072154324785,3.2351390255548735,Tandhoek,8501,4bf58dd8d48988d178941735,Dentist's Office,West-Vlaanderen
3,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,50c84c71e4b0cd965f0055fd,50.83404926753784,3.3088217372956357,CPS,8530,4bf58dd8d48988d125941735,Tech Startup,West-Vlaanderen
4,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,4f271924e4b08842e6acb6f7,50.8314968963838,3.281516991849,IF-IT4U bvba,8500,4bf58dd8d48988d125941735,Tech Startup,West-Vlaanderen
5,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,58bec7b85490d37e42be441b,50.852957,3.263017,jobtoolz,8500,4bf58dd8d48988d125941735,Tech Startup,West-Vlaanderen
6,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,4fded22ce4b0f8bdf4d84fc3,50.80086153981926,3.274077531913641,Beckhoff,,4bf58dd8d48988d125941735,Tech Startup,
7,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,5630bf82498ed421ed08dcab,50.83905589090483,3.304842627741522,editdeskvoet,,4bf58dd8d48988d125941735,Tech Startup,
8,"[{'id': '4bf58dd8d48988d174941735', 'name': 'Coworking Space', 'pluralName': 'Coworking Spaces', 'shortName': 'Coworking Space', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,514ff123e4b0f713bd7bc530,50.84109576058274,3.2954197623329025,btv harelbeke,,4bf58dd8d48988d174941735,Coworking Space,West-Vlaanderen
9,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,BE,,België,50b37d58e4b0f78dc0f171bf,50.80571311165835,3.2904281570632428,Microsoft Innovation Center,8500,4bf58dd8d48988d125941735,Tech Startup,West-Vlaanderen
