,name,id,postalCode,state,country,cc,lat,lng,categories,primary_category_name,primary_category_id
0,Marseille,513b4b5a805529c0974a0287,13000,Provence-Alpes-Côte d'Azur,France,FR,43.29794801740647,5.3694820404052725,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
1,Aix-en-Provence,50052627e4b0b93071b209a4,13100,Provence-Alpes-Côte d'Azur,France,FR,43.52659834393956,5.447040929180928,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
2,La Seyne-sur-Mer,4ef6040977c8e88f469490df,,France,France,FR,43.11075712950073,5.8822951394808385,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
3,Auriol,4c2c98de8ef52d7f3a1d33ba,13390,Provence-Alpes-Côte d'Azur,France,FR,43.36292461170899,5.634199453748241,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
4,Toulon,50dc240ce4b09036bd2465ad,83000,Provence-Alpes-Côte d'Azur,France,FR,43.12306334574765,5.93465789162132,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
5,Cassis,4e31bf9cfa76634e16c49be1,13260,Provence-Alpes-Côte d'Azur,France,FR,43.2145405588371,5.538456774733378,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
6,Saint-Victoret,53e92065498e9adcbb639182,,Provence-Alpes-Côte d'Azur,France,FR,43.42048992460896,5.250762138393189,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
7,Salon-de-Provence,4b90e6b9f964a520a79b33e3,13300,PACA,France,FR,43.63199714584845,5.1003246139475165,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
8,Marignane,4dbef98af7b1ab37dd9945a9,13700,PACA,France,FR,43.411889205151866,5.2169392730147575,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
9,Aubagne,502f97b6e4b01882f8dcf08b,13400,Provence-Alpes-Côte d'Azur,France,FR,43.29323110081063,5.56815031280997,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
10,La Ciotat,4f9409a5e4b01b89902074bf,13600,Provence-Alpes-Côte d'Azur,France,FR,43.18547699761722,5.605524413139743,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
11,La Fare-les-Oliviers,5336fa27498e650544563001,,Provence-Alpes-Côte d'Azur,France,FR,43.54892512610785,5.187323776907465,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
12,Cassis,55d1ff3f498e7647ee3bd98e,,,France,FR,43.21393394842018,5.539770126342773,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
13,La Destrousse,4c4205b0ce54e21e3f000c1a,13112,Provence-Alpes-Côte d'Azur,France,FR,43.373540092211485,5.6040055950948515,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
