,categories,categoriesList,cc,city,country,id,lat,lng,name,postalCode,primary_category_id,primary_category_name,state
0,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4f5f6003e4b0a76b710d2135,47.31756535963473,-2.165497201565823,Nemo lab Airbus,44550,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
0,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,5b30ddcffe63bd002cf38013,47.217335,-1.534618,iAdvize,44000,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
1,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,56fe54b5498efebb296f356c,47.211668,-1.575907,Akeneo HQ,,4bf58dd8d48988d125941735,Tech Startup,
2,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,53bc1332498e97b8078bcedc,47.198104,-1.59649,Sodius,,4bf58dd8d48988d125941735,Tech Startup,
3,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4e86cbb25503cfdfd36183a6,47.207063754679396,-1.5604856663627393,Checkspear HQ,44000,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
4,"[{'id': '52e81612bcbc57f1066b7a3d', 'name': 'Advertising Agency', 'pluralName': 'Advertising Agencies', 'shortName': 'Advertising Agency', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,53ce41be498e40d13df83783,47.208053520092925,-1.6013002395629883,Pigment Libre,,52e81612bcbc57f1066b7a3d,Advertising Agency,
5,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4d3d8b3f8edf3704dadebaa5,47.206315,-1.56092,Nantes 7 - Télénantes,,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
6,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4d524bea9d4937043998d639,47.20719242,-1.5180762399999999,Makina Corpus,44000,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
7,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,506d50e0498e0db5b45460af,47.22254173138417,-1.5484724968271997,Personae HQ,44000,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
8,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4c440066dcd61b8d1fc57a56,47.228118229969404,-1.575650026296501,Beemoov,44000,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
9,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4d528c5e71548cfabdfa279a,47.207313,-1.517744,Lili Fabrik,44230,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
10,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4b892321f964a520ba1e32e3,47.2196149389747,-1.5869157865163162,Kan OP,44100,4bf58dd8d48988d125941735,Tech Startup,Pays de la Loire
