,categories,categoriesList,cc,city,country,id,lat,lng,name,postalCode,primary_category_id,primary_category_name,state
0,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,587fc1e333a24538c59b74e0,43.592424167326456,1.4457833496916512,EasyMile,31400,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
1,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4dc24b2a1f6ebdce47251ff6,43.571456782633206,1.4247788866857967,Mediameeting,,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
2,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4fa24169e4b0857bbd4a4342,43.625447226593664,1.4925238112709132,LoKan.fr,31130,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
3,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4fb66c59e4b0467a1d8e658c,43.591222835862645,1.4421640917983032,W2P Production & Digital,31400,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
4,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,508fe7d690e7fa3af771fcb7,43.609575609424944,1.4561283588409424,Console Syndrome Building,31500,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
5,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4be946b9fbbb9c743e3a1e8e,43.60441724731168,1.447749137878418,Pinkanova,,4bf58dd8d48988d124941735,Office,31000
6,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4f109202e4b0472043c920a9,43.60031820215159,1.4435217583746613,MBC Media HQ,,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
7,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,51508084e4b057958e2cc12f,43.586592699908586,1.4464447354431602,Le Nouvel Incubateur Mipy,,4bf58dd8d48988d125941735,Tech Startup,
8,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,5624a114498ef25fd552a78c,43.5949,1.464371,Agirmedia,31500,4bf58dd8d48988d125941735,Tech Startup,Midi-Pyrénées
9,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,5154366de4b0205af1599eeb,43.572211104905264,1.4426596493064574,Monsieur LÉO.,,4bf58dd8d48988d125941735,Tech Startup,
