,name,id,postalCode,state,country,cc,lat,lng,categories,primary_category_name,primary_category_id
0,City of Boston,4c3b455b4565e21eb76c566a,02109,Massachusetts,United States,US,42.36108082586393,-71.05965614318848,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
1,"Cambridge, MA",4da5796cf7b16ce044a3f99a,02139,Massachusetts,United States,US,42.374382062356744,-71.10591888427734,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
2,"Waltham, MA",4c924e507f3b8cfab50ea41e,02453,Massachusetts,United States,US,42.376815691278345,-71.2362926479273,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
3,"Burlington, MA",4e599df3b993732579ec9c72,01803,Massachusetts,United States,US,42.504993243663925,-71.19586944580078,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
4,"Somerville, MA",4d4eb9438af6721ef5371388,02145,Massachusetts,United States,US,42.3884639665844,-71.09516700278992,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
5,"Andover, MA",4ecc23c10e011bec7b22ce76,01810,MA,United States,US,42.65994501060348,-71.14392034615997,"[{'id': '530e33ccbcbc57f1066bbff3', 'name': 'Town', 'pluralName': 'Towns', 'shortName': 'Town', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",Town,530e33ccbcbc57f1066bbff3
6,"Brookline, MA",4c252554905a0f47e7ff6060,02446,Massachusetts,United States,US,42.340655807135605,-71.12445831298828,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
7,"Beverly, MA",4e321a09e4cd602501895645,01915,Massachusetts,United States,US,42.55831212658742,-70.8799695968628,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
8,"Lowell, MA",4ce3f935ef2db60c4185c35b,01852,Massachusetts,United States,US,42.63495063099941,-71.31174857606706,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
9,"Mansfield, MA",50a79277e4b0b2e8bf5b1ab5,02048,Massachusetts,United States,US,42.016093980320825,-71.23260328231657,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
10,"Natick, MA",4d8617ca61676dcbdaf097e4,01760,Massachusetts,United States,US,42.28372254555245,-71.34736061096191,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
11,"Quincy, MA",4c413a75af052d7f70297d79,02169,Massachusetts,United States,US,42.25404874324462,-71.00230362370469,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
12,"Framingham, MA",5073529ce4b03e9d07b65e9d,01702,Massachusetts,United States,US,42.29995019739595,-71.41542119044148,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
13,"Tewksbury, MA",4ca618348882199c70fb42d4,01876,Massachusetts,United States,US,42.610716923225255,-71.23436450958252,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
14,"Avon, MA",4de97495d4c00071b80979e1,02322,Massachusetts,United States,US,42.130646254978664,-71.04146003723145,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
15,"Brockton, MA",4e5127a645ddff0031d7900c,,Massachusetts,United States,US,42.08898673594186,-71.03418514800033,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
16,"Salem, MA",4c07f9966071a593fa85db32,01970,Massachusetts,United States,US,42.52100718796767,-70.89559650643217,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
17,"Reading, MA",4ce49debe1dba35dc55a7d88,01867,Massachusetts,United States,US,42.525317343476836,-71.09514713287354,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
18,"Needham, MA",4e176df218a8166f73815f90,,Massachusetts,United States,US,42.281645686910785,-71.23183756048904,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
19,"Swampscott, MA",4c057bba91d776b0367bf7f9,01907,Massachusetts,United States,US,42.470957332258884,-70.9178102016449,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
20,"Everett, MA",4e5da959b9936b2d8cc5b9d4,02149,Massachusetts,United States,US,42.40735174121103,-71.05307029763605,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
21,"Attleboro, MA",4c706df1df6b8cfa1967b84d,02703,Massachusetts,United States,US,41.94450536661721,-71.28410339355469,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
22,"Wellesley, MA",4c85d58f51ada1cda4413b10,02482,Massachusetts,United States,US,42.30764967439202,-71.27561466553702,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
23,"Newton, MA",4d99fd0ea2c65481bf5f1454,02467,Massachusetts,United States,US,42.32771164639238,-71.19006861751768,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
24,"Bedford, MA",4cd5b47d67adf04d6be42e91,01730,Massachusetts,United States,US,42.49048554512899,-71.27715110778809,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
25,"Saugus, MA",4cc24955c844721e3ebfdb01,01906,Massachusetts,United States,US,42.44995516,-71.00503616,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
26,"Medford, MA",4d08daf5e554721e4616c4f8,02148,Massachusetts,United States,US,42.41116200100781,-71.10736459804552,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
