,categories,categoriesList,cc,city,country,id,lat,lng,name,postalCode,primary_category_id,primary_category_name,state
0,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,51e9100d498e5868804f0261,43.70347621186536,7.260030938638654,Qwant,,4bf58dd8d48988d125941735,Tech Startup,
1,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4fe4297f4fc6bb410d1cf2f9,43.711983020582394,7.25398063659668,Enterprise AB,06100,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
2,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4d2deceeda7cb60c3f2c6bd4,43.7043681763549,7.266776103130914,The Apps Factory,06000,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
3,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,50213336e4b0432e8ace55ac,43.700737,7.287678,Tokidev,,4bf58dd8d48988d125941735,Tech Startup,
4,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,5007f59ee4b05378761eeefc,43.703575134277344,7.268657207489014,Tycoon Informatique,06000,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
5,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4f85c3c1e4b013f9e676d824,43.701003134173796,7.2875399153733635,Snap'n See,06300,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
6,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,51908ce3498e739d0dc04ef6,43.71007984909457,7.25695459137996,Kwileo,06000,4bf58dd8d48988d125941735,Tech Startup,Paca
7,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4f7176cbe4b0bd86bebcd0ab,43.7006047926346,7.265904833140222,La Noosphère,,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
8,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,582c9fcc70fc427af847381d,43.699636,7.268394,Freelabster,,4bf58dd8d48988d125941735,Tech Startup,
9,"[{'id': '4bf58dd8d48988d125941735', 'name': 'Tech Startup', 'pluralName': 'Tech Startups', 'shortName': 'Tech Startup', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}, 'primary': True}]",,FR,,France,4ee8f7e29a52792fdd223c83,43.703104486475034,7.2815376734268,Shoutcaster.fr - Headquarters,06300,4bf58dd8d48988d125941735,Tech Startup,Provence-Alpes-Côte d'Azur
