,name,id,postalCode,state,country,cc,lat,lng,categories,primary_category_name,primary_category_id
0,City of San Francisco,4c82f252d92ea09323185072,94103,California,United States,US,37.7738356083287,-122.41962432861328,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
1,City of San José,4c85e27147cc224b2fe6a49f,95112,California,United States,US,37.339895,-121.893587,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
2,City of Mountain View,4bef2c5bea570f4790058fd2,94041,California,United States,US,37.390294161433054,-122.08338260650633,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
3,City of Sunnyvale,4c572933d12a20a1471866bd,94085-94090,California,United States,US,37.36974790915594,-122.03677654266357,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
4,City of Palo Alto,4c3cc484b36ac9283d900486,94301,California,United States,US,37.44206,-122.143005,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
5,City of Santa Clara,4dd9d3bfb0fb8af380c0ef2b,95051,California,United States,US,37.35405735474607,-121.95510864257811,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
6,City of San Mateo,4bedb9cc4daaa59352208f61,94401,California,United States,US,37.54471342751333,-122.30924606323242,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
7,City of Cupertino,4c492a661b430f47a0992ac3,95014-95015,California,United States,US,37.32632908175318,-122.03232163749517,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
8,City of South San Francisco,4db3178c93a017099dbbe737,94080,California,United States,US,37.65414063138378,-122.43142078560743,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
9,City of Livermore,4bfc3fc0ace4a593048caf84,94550,California,United States,US,37.68267787084615,-121.77035242468105,"[{'id': '50aa9e094b90af0d42d5de0d', 'name': 'City', 'pluralName': 'Cities', 'shortName': 'City', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",City,50aa9e094b90af0d42d5de0d
